name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,national_player,caps/goals,foot,age,current_international,former_international
Milos Veljkovic,/milos-veljkovic/profil/spieler/202228,€5.50m,SV Werder Bremen,GER,"Sep 26, 1995 (27)",Basel,Serbia,"1,88 m",Centre-Back,,,26 / 0,right,27,Serbia,
Anthony Jung,/anthony-jung/profil/spieler/58995,€1.50m,SV Werder Bremen,GER,"Nov 3, 1991 (31)",Villajoyosa,Germany,"1,86 m",Left-Back,CAA Stellar,,Feb-00,left,31,,Germany U20
Mitchell Weiser,/mitchell-weiser/profil/spieler/119211,€6.00m,SV Werder Bremen,GER,"Apr 21, 1994 (29)",Troisdorf,Germany,"1,77 m",Right-Back,ROOF,,1-Dec,right,29,,Germany U21
Felix Agu,/felix-agu/profil/spieler/393512,€1.00m,SV Werder Bremen,GER,"Sep 27, 1999 (23)",Osnabrück,Germany,"1,80 m",Right-Back,,,Feb-00,right,23,,Germany U21
Senne Lynen,/senne-lynen/profil/spieler/338668,€4.00m,SV Werder Bremen,GER,"Feb 19, 1999 (24)",Antwerpen,Belgium,"1,85 m",Defensive Midfield,,,Apr-00,right,24,,Belgium U19
Nicolai Rapp,/nicolai-rapp/profil/spieler/185427,€700k,SV Werder Bremen,GER,"Dec 13, 1996 (26)",Heidelberg,Germany,"1,86 m",Defensive Midfield,11WINS,,Jan-00,right,26,,Germany U18
Christian Groß,/christian-gross/profil/spieler/58396,€500k,SV Werder Bremen,GER,"Feb 8, 1989 (34)",Bremen,Germany,"1,82 m",Defensive Midfield,,,Jan-00,na,34,,Germany U20
Naby Keïta,/naby-keita/profil/spieler/302215,€12.00m,SV Werder Bremen,GER,"Feb 10, 1995 (28)",Conakry,Guinea,"1,72 m",Central Midfield,ROOF,Guinea,54 / 12,right,28,,
Jens Stage,/jens-stage/profil/spieler/289835,€5.00m,SV Werder Bremen,GER,"Nov 8, 1996 (26)",Højbjerg,Denmark,"1,87 m",Central Midfield,CMA Group,,Jan-00,right,26,,Denmark
Olivier Deman,/olivier-deman/profil/spieler/621802,€3.00m,SV Werder Bremen,GER,"Apr 6, 2000 (23)",Antwerpen,Belgium,"1,81 m",Left Midfield,,,Jan-00,left,23,Belgium,
Leon Opitz,/leon-opitz/profil/spieler/825073,€300k,SV Werder Bremen,GER,"Apr 11, 2005 (18)",,Germany,"1,83 m",Left Midfield,,,Jan-00,left,18,Germany U19,
Romano Schmid,/romano-schmid/profil/spieler/346853,€4.50m,SV Werder Bremen,GER,"Jan 27, 2000 (23)",Graz,Austria,"1,68 m",Attacking Midfield,SEG,Austria,Apr-00,right,23,,
Leonardo Bittencourt,/leonardo-bittencourt/profil/spieler/93844,€2.80m,SV Werder Bremen,GER,"Dec 19, 1993 (29)",Leipzig,Germany,"1,71 m",Attacking Midfield,,,20 / 3,right,29,,Germany U21
Justin Njinmah,/justin-njinmah/profil/spieler/596153,€800k,SV Werder Bremen,GER,"Nov 15, 2000 (22)",Hamburg,Germany,"1,85 m",Right Winger,,,,na,22,,
Rafael Borré,/rafael-borre/profil/spieler/323831,€9.00m,SV Werder Bremen,GER,"Sep 15, 1995 (27)",Barranquilla,Colombia,"1,74 m",Centre-Forward,,,25 / 4,right,27,Colombia,
Marvin Ducksch,/marvin-ducksch/profil/spieler/125103,€7.50m,SV Werder Bremen,GER,"Mar 7, 1994 (29)",Dortmund,Germany,"1,88 m",Centre-Forward,,,0 / 0,right,29,,Germany U20
Dawid Kownacki,/dawid-kownacki/profil/spieler/208167,€3.50m,SV Werder Bremen,GER,"Mar 14, 1997 (26)",Gorzów Wielkopolski,Poland,"1,86 m",Centre-Forward,,,1-Jul,right,26,,Poland
Nick Woltemade,/nick-woltemade/profil/spieler/455661,€1.50m,SV Werder Bremen,GER,"Feb 14, 2002 (21)",Bremen,Germany,"1,98 m",Centre-Forward,,,Jan-00,right,21,Germany U21,
Manuel Riemann,/manuel-riemann/profil/spieler/40792,€1.00m,VfL Bochum,GER,"Sep 9, 1988 (35)",Mühldorf am Inn,Germany,"1,86 m",Goalkeeper,ROOF,,0 / 0,right,35,,Germany U17
Niclas Thiede,/niclas-thiede/profil/spieler/348778,€350k,VfL Bochum,GER,"Apr 14, 1999 (24)",Hagen,Germany,"1,86 m",Goalkeeper,,,Feb-00,na,24,,Germany U20
Michael Esser,/michael-esser/profil/spieler/61989,€300k,VfL Bochum,GER,"Nov 22, 1987 (35)",Castrop-Rauxel,Germany,"1,98 m",Goalkeeper,,,,right,35,,
Erhan Masovic,/erhan-masovic/profil/spieler/343959,€8.00m,VfL Bochum,GER,"Nov 22, 1998 (24)",Novi Pazar,Serbia,"1,89 m",Centre-Back,,,Mar-00,na,24,Serbia,
Ivan Ordets,/ivan-ordets/profil/spieler/118850,€3.00m,VfL Bochum,GER,"Jul 8, 1992 (31)","Blyzhnye, Donetsk ...",Ukraine,"1,95 m",Centre-Back,,,1-Dec,right,31,,Ukraine
Keven Schlotterbeck,/keven-schlotterbeck/profil/spieler/413843,€3.00m,VfL Bochum,GER,"Apr 28, 1997 (26)",Weinstadt,Germany,"1,89 m",Centre-Back,,,Mar-00,left,26,,Germany
Bernardo,/bernardo/profil/spieler/364258,€2.50m,VfL Bochum,GER,"May 14, 1995 (28)",São Paulo,Brazil,"1,86 m",Centre-Back,,,,left,28,,
Tim Oermann,/tim-oermann/profil/spieler/696164,€800k,VfL Bochum,GER,"Oct 6, 2003 (19)",Bochum,Germany,"1,89 m",Centre-Back,,,Jan-00,right,19,Germany U20,
Noah Loosli,/noah-loosli/profil/spieler/265209,€800k,VfL Bochum,GER,"Jan 23, 1997 (26)",Brugg,Switzerland,"1,86 m",Centre-Back,,,Jan-00,right,26,,Switzerland U21
Mohammed Tolba,/mohammed-tolba/profil/spieler/813730,€200k,VfL Bochum,GER,"Jul 19, 2004 (19)",Essen,Germany,"1,85 m",Centre-Back,,Germany U19,Feb-00,right,19,,
