name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,national_player,caps/goals,foot,age,current_international,former_international
Norman Theuerkauf,/norman-theuerkauf/profil/spieler/31599,€300k,1.FC Heidenheim 1846,GER,"Jan 24, 1987 (36)",Nordhausen,Germany,"1,83 m",Left-Back,,,,left,36,,
Luka Janes,/luka-janes/profil/spieler/825971,€200k,1.FC Heidenheim 1846,GER,"Jan 19, 2004 (19)",Schwäbisch Gmünd,Germany,"1,83 m",Central Midfield,,,,right,19,,
Jan Schöppner,/jan-schoppner/profil/spieler/581357,€1.50m,1.FC Heidenheim 1846,GER,"Jun 12, 1999 (24)",Homberg (Efze),Germany,"1,90 m",Central Midfield,KL Sportsbase,,,right,24,,
Kevin Sessa,/kevin-sessa/profil/spieler/448028,€1.50m,1.FC Heidenheim 1846,GER,"Jul 6, 2000 (23)",Stuttgart,Germany,"1,75 m",Central Midfield,,,,,23,,
Denis Thomalla,/denis-thomalla/profil/spieler/94030,€750k,1.FC Heidenheim 1846,GER,"Aug 16, 1992 (31)",Pforzheim,Germany,"1,86 m",Attacking Midfield,CAA Stellar,,0 / 0,right,31,,Germany U20
Adrian Beck,/adrian-beck/profil/spieler/273669,€650k,1.FC Heidenheim 1846,GER,"Jun 9, 1997 (26)",Crailsheim,Germany,"1,86 m",Attacking Midfield,,,,right,26,,
Jan-Niklas Beste,/jan-niklas-beste/profil/spieler/342967,€3.00m,1.FC Heidenheim 1846,GER,"Jan 4, 1999 (24)",Hamm,Germany,"1,75 m",Left Winger,,,1-Feb,left,24,,Germany U20
Florian Pick,/florian-pick/profil/spieler/191359,€900k,1.FC Heidenheim 1846,GER,"Sep 8, 1995 (28)",Wittlich,Germany,"1,76 m",Left Winger,CN Sports,,,right,28,,
Eren Dinkci,/eren-dinkci/profil/spieler/645774,€1.00m,1.FC Heidenheim 1846,GER,"Dec 13, 2001 (21)",Bremen,Germany,"1,88 m",Right Winger,,,Mar-00,right,21,,Germany U20
Nikola Dovedan,/nikola-dovedan/profil/spieler/120189,€600k,1.FC Heidenheim 1846,GER,"Jul 6, 1994 (29)",Tulln,Austria,"1,72 m",Second Striker,,,16 / 2,right,29,,Austria U21
Tim Kleindienst,/tim-kleindienst/profil/spieler/193033,€4.00m,1.FC Heidenheim 1846,GER,"Aug 31, 1995 (28)",Jüterbog,Germany,"1,94 m",Centre-Forward,,,Oct-00,right,28,,Germany U20
Marvin Pieringer,/marvin-pieringer/profil/spieler/471055,€2.00m,1.FC Heidenheim 1846,GER,"Oct 4, 1999 (23)",Bad Urach,Germany,"1,91 m",Centre-Forward,,,,right,23,,
Christian Kühlwetter,/christian-kuhlwetter/profil/spieler/184204,€600k,1.FC Heidenheim 1846,GER,"Apr 21, 1996 (27)",Bonn,Germany,"1,82 m",Centre-Forward,,,,na,27,,
Stefan Schimmer,/stefan-schimmer/profil/spieler/394033,€500k,1.FC Heidenheim 1846,GER,"Apr 28, 1994 (29)",Wertingen,Germany,"1,85 m",Centre-Forward,,,,right,29,,
Elidon Qenaj,/elidon-qenaj/profil/spieler/741149,€100k,1.FC Heidenheim 1846,GER,"May 22, 2003 (20)",Böblingen,Kosovo,"1,98 m",Centre-Forward,ROGON,,0 / 0,na,20,,Kosovo U21
