name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,current_international,caps/goals,foot,age,national_player,former_international
Dejan Lovren,/dejan-lovren/profil/spieler/37838,€2.50m,Olympique Lyon,FRA,"Jul 5, 1989 (34)",Zenica,Croatia,"1,88 m",Centre-Back,ROOF,,78 / 5,right,34,,Croatia
Mamadou Sarr,/mamadou-sarr/profil/spieler/910905,€1.00m,Olympique Lyon,FRA,"Aug 29, 2005 (18)",Martigues,France,"1,88 m",Centre-Back,Classico,France U19,0 / 0,right,18,,
Jake O'Brien,/jake-obrien/profil/spieler/711544,€700k,Olympique Lyon,FRA,"May 15, 2001 (22)",Cork,Ireland,"1,97 m",Centre-Back,,,Nov-00,right,22,Ireland U21,
Nicolás Tagliafico,/nicolas-tagliafico/profil/spieler/131225,€9.00m,Olympique Lyon,FRA,"Aug 31, 1992 (31)",Rafael Calzada,Argentina,"1,72 m",Left-Back,CAA Stellar,Argentina,50 / 0,left,31,,
Henrique Silva,/henrique-silva/profil/spieler/204072,€1.00m,Olympique Lyon,FRA,"Apr 25, 1994 (29)",Rio de Janeiro,Brazil,"1,73 m",Left-Back,,,Feb-00,left,29,,Brazil U20
Achraf Laâziri,/achraf-laaziri/profil/spieler/902862,€250k,Olympique Lyon,FRA,"Jul 8, 2003 (20)",Hay Hassani,Morocco,"1,77 m",Left-Back,,Morocco U23,0 / 0,left,20,,
Saël Kumbedi,/sael-kumbedi/profil/spieler/951579,€12.00m,Olympique Lyon,FRA,"Mar 26, 2005 (18)",Stains,France,"1,75 m",Right-Back,,France U19,0 / 0,right,18,,
Clinton Mata,/clinton-mata/profil/spieler/187718,€4.50m,Olympique Lyon,FRA,"Nov 7, 1992 (30)",Verviers,Angola,"1,80 m",Right-Back,,,Aug-00,right,30,,Angola
Johann Lepenant,/johann-lepenant/profil/spieler/585973,€10.00m,Olympique Lyon,FRA,"Oct 22, 2002 (20)",Granville,France,"1,76 m",Defensive Midfield,,France U21,0 / 0,right,20,,
Paul Akouokou,/paul-akouokou/profil/spieler/429901,€3.50m,Olympique Lyon,FRA,"Dec 20, 1997 (25)",Abidjan,Cote d'Ivoire,"1,81 m",Defensive Midfield,,,Apr-00,right,25,,Ivory Coast
Maxence Caqueret,/maxence-caqueret/profil/spieler/395237,€25.00m,Olympique Lyon,FRA,"Feb 15, 2000 (23)",Vénissieux,France,"1,74 m",Central Midfield,,,22 / 3,right,23,France U21,
Corentin Tolisso,/corentin-tolisso/profil/spieler/190393,€14.00m,Olympique Lyon,FRA,"Aug 3, 1994 (29)",Tarare,France,"1,81 m",Central Midfield,,,28 / 2,right,29,,France
Ainsley Maitland-Niles,/ainsley-maitland-niles/profil/spieler/285845,€8.00m,Olympique Lyon,FRA,"Aug 29, 1997 (26)",London,England,"1,80 m",Central Midfield,,,May-00,right,26,,England
Skelly Alvero,/skelly-alvero/profil/spieler/855134,€3.00m,Olympique Lyon,FRA,"May 4, 2002 (21)",Stains,France,"2,02 m",Central Midfield,,,,right,21,,
Mohamed El Arouch,/mohamed-el-arouch/profil/spieler/743533,€2.00m,Olympique Lyon,FRA,"Apr 6, 2004 (19)",Orange,France,"1,66 m",Central Midfield,,France U20,0 / 0,right,19,,
Rayan Cherki,/rayan-cherki/profil/spieler/607223,€30.00m,Olympique Lyon,FRA,"Aug 17, 2003 (20)",Lyon,France,"1,77 m",Attacking Midfield,,France U21,5-Dec,na,20,,
Jeffinho,/jeffinho/profil/spieler/884072,€8.00m,Olympique Lyon,FRA,"Dec 30, 1999 (23)",Volta Redonda,Brazil,"1,76 m",Left Winger,,,,right,23,,
Ernest Nuamah,/ernest-nuamah/profil/spieler/955070,€6.00m,Olympique Lyon,FRA,"Nov 1, 2003 (19)",Kumasi,Ghana,"1,78 m",Left Winger,,Ghana,Jan-00,left,19,,
Diego Moreira,/diego-moreira/profil/spieler/655006,€2.00m,Olympique Lyon,FRA,"Aug 6, 2004 (19)",Liège,Portugal,"1,79 m",Left Winger,Gestifute,Portugal U21,Apr-00,left,19,,
Alexandre Lacazette,/alexandre-lacazette/profil/spieler/93720,€14.00m,Olympique Lyon,FRA,"May 28, 1991 (32)",Lyon,France,"1,75 m",Centre-Forward,,,16 / 3,right,32,,France
Mama Baldé,/mama-balde/profil/spieler/325223,€8.00m,Olympique Lyon,FRA,"Nov 6, 1995 (27)",Bissau,Guinea-Bissau,"1,76 m",Centre-Forward,,,20 / 2,right,27,Guinea-Bissau,
Tino Kadewere,/tino-kadewere/profil/spieler/384060,€4.00m,Olympique Lyon,FRA,"Jan 5, 1996 (27)",Harare,Zimbabwe,"1,83 m",Centre-Forward,,Zimbabwe,19 / 3,right,27,,
Alban Lafont,/alban-lafont/profil/spieler/357117,€16.00m,FC Nantes,FRA,"Jan 23, 1999 (24)",Ouagadougou,France,"1,96 m",Goalkeeper,Sport Cover,,0 / 0,right,24,France,
Rémy Descamps,/remy-descamps/profil/spieler/282028,€700k,FC Nantes,FRA,"Jun 25, 1996 (27)",Marcq-en-Barœul,France,"1,96 m",Goalkeeper,,,0 / 0,left,27,,France U21
Denis Petric,/denis-petric/profil/spieler/28356,€150k,FC Nantes,FRA,"May 24, 1988 (35)",Ljubljana,Slovenia,"1,87 m",Goalkeeper,,,Jan-00,right,35,,Slovenia U21
Jean-Kévin Duverne,/jean-kevin-duverne/profil/spieler/344864,€4.00m,FC Nantes,FRA,"Jul 12, 1997 (26)",Paris,Haiti,"1,86 m",Centre-Back,,,0 / 0,right,26,,Haiti
Jean-Charles Castelletto,/jean-charles-castelletto/profil/spieler/182875,€3.50m,FC Nantes,FRA,"Jan 26, 1995 (28)",Clamart,Cameroon,"1,86 m",Centre-Back,,,18 / 1,na,28,Cameroon,
Eray Cömert,/eray-comert/profil/spieler/298583,€3.50m,FC Nantes,FRA,"Feb 4, 1998 (25)",Rheinfelden,Switzerland,"1,83 m",Centre-Back,,,Dec-00,right,25,Switzerland,
Nicolas Pallois,/nicolas-pallois/profil/spieler/139279,€900k,FC Nantes,FRA,"Sep 19, 1987 (35)",Elbeuf,France,"1,89 m",Centre-Back,Sport Cover,,,left,35,,
Nathan Zeze,/nathan-zeze/profil/spieler/923832,€400k,FC Nantes,FRA,"Jun 18, 2005 (18)",Nantes,France,"1,90 m",Centre-Back,,,Jan-00,right,18,France U18,
Yannis M'Bemba,/yannis-mbemba/profil/spieler/822116,€200k,FC Nantes,FRA,"Jul 1, 2001 (22)",Amiens,France,"1,94 m",Centre-Back,,,,left,22,,
Bastien Meupiyou,/bastien-meupiyou/profil/spieler/955253,,FC Nantes,FRA,"Mar 19, 2006 (17)",Paris,France,"1,91 m",Centre-Back,,France U18,0 / 0,left,17,,
Quentin Merlin,/quentin-merlin/profil/spieler/557613,€7.00m,FC Nantes,FRA,"May 16, 2002 (21)",Nantes,France,"1,73 m",Left-Back,,France U21,May-00,left,21,,
Jaouen Hadjam,/jaouen-hadjam/profil/spieler/750903,€2.00m,FC Nantes,FRA,"Mar 26, 2003 (20)",Paris,Algeria,"1,84 m",Left-Back,,Algeria,Feb-00,left,20,,
Fabien Centonze,/fabien-centonze/profil/spieler/384859,€4.00m,FC Nantes,FRA,"Jan 16, 1996 (27)",Voiron,France,"1,82 m",Right-Back,CAA Stellar,,,right,27,,
Ronaël Pierre-Gabriel,/ronael-pierre-gabriel/profil/spieler/410185,€3.50m,FC Nantes,FRA,"Jun 13, 1998 (25)",Paris,France,"1,77 m",Right-Back,,,Jan-00,right,25,,France U21
Pedro Chirivella,/pedro-chirivella/profil/spieler/242273,€6.00m,FC Nantes,FRA,"May 23, 1997 (26)",Valencia,Spain,"1,78 m",Defensive Midfield,,,2-Sep,right,26,,Spain U17
Lamine Diack,/lamine-diack/profil/spieler/649024,€1.70m,FC Nantes,FRA,"Nov 15, 2000 (22)",Dakar,Senegal,"1,86 m",Defensive Midfield,,,Feb-00,right,22,,Senegal U20
Samuel Moutoussamy,/samuel-moutoussamy/profil/spieler/353403,€5.00m,FC Nantes,FRA,"Aug 12, 1996 (27)",Paris,DR Congo,"1,76 m",Central Midfield,,DR Congo,22 / 0,left,27,,
Douglas Augusto,/douglas-augusto/profil/spieler/393621,€4.50m,FC Nantes,FRA,"Jan 13, 1997 (26)",Rio de Janeiro,Brazil,"1,73 m",Central Midfield,,,Jan-00,left,26,,Brazil U23
Moussa Sissoko,/moussa-sissoko/profil/spieler/46001,€2.50m,FC Nantes,FRA,"Aug 16, 1989 (34)",Le Blanc-Mesnil,France,"1,87 m",Central Midfield,,,71 / 2,right,34,,France
Mohamed Achi,/mohamed-achi/profil/spieler/855158,€300k,FC Nantes,FRA,"Jan 16, 2002 (21)",Bondy,France,"1,81 m",Central Midfield,,,1-Jun,left,21,,France U20
Adson,/adson/profil/spieler/868891,€6.00m,FC Nantes,FRA,"Oct 6, 2000 (22)",Araguapaz,Brazil,"1,71 m",Attacking Midfield,,,,left,22,,
Florent Mollet,/florent-mollet/profil/spieler/222859,€2.00m,FC Nantes,FRA,"Nov 19, 1991 (31)",Fontaine-lès-Dijon,France,"1,75 m",Attacking Midfield,,,,right,31,,
Gor Manvelyan,/gor-manvelyan/profil/spieler/773795,€400k,FC Nantes,FRA,"Apr 9, 2002 (21)",,Armenia,"1,80 m",Attacking Midfield,,Armenia U21,Jan-00,na,21,,
Moses Simon,/moses-simon/profil/spieler/274862,€8.00m,FC Nantes,FRA,"Jul 12, 1995 (28)",Jos,Nigeria,"1,68 m",Left Winger,,Nigeria,58 / 8,right,28,,
Stredair Appuah,/stredair-appuah/profil/spieler/1004618,€150k,FC Nantes,FRA,"Jun 27, 2004 (19)",Sarcelles,France,"1,85 m",Left Winger,,,,,19,,
Marquinhos,/marquinhos/profil/spieler/668268,€12.00m,FC Nantes,FRA,"Apr 7, 2003 (20)",São Paulo,Brazil,"1,75 m",Right Winger,,Brazil U20,1-May,left,20,,
Marcus Coco,/marcus-coco/profil/spieler/353365,€1.20m,FC Nantes,FRA,"Jun 24, 1996 (27)",Les Abymes,France,"1,84 m",Right Winger,,,17 / 1,right,27,,France U21
Abdoul Kader Bamba,/abdoul-kader-bamba/profil/spieler/560725,€900k,FC Nantes,FRA,"Apr 25, 1994 (29)",Sarcelles,France,"1,77 m",Right Winger,,,,right,29,,
Mostafa Mohamed,/mostafa-mohamed/profil/spieler/462348,€6.00m,FC Nantes,FRA,"Nov 28, 1997 (25)",Giza,Egypt,"1,85 m",Centre-Forward,,Egypt,26 / 7,right,25,,
Matthis Abline,/matthis-abline/profil/spieler/659543,€4.50m,FC Nantes,FRA,"Mar 28, 2003 (20)",Angers,France,"1,82 m",Centre-Forward,,,1-Jan,right,20,France U21,
Ignatius Ganago,/ignatius-ganago/profil/spieler/531949,€4.00m,FC Nantes,FRA,"Feb 16, 1999 (24)",Douala,Cameroon,"1,76 m",Centre-Forward,,,14 / 0,right,24,Cameroon,
Matz Sels,/matz-sels/profil/spieler/127202,€7.00m,RC Strasbourg Alsace,FRA,"Feb 26, 1992 (31)",Lint,Belgium,"1,88 m",Goalkeeper,,Belgium,Mar-00,right,31,,
Alaa Bellaarouch,/alaa-bellaarouch/profil/spieler/667991,€200k,RC Strasbourg Alsace,FRA,"Feb 1, 2002 (21)",Casablanca,Morocco,"1,88 m",Goalkeeper,,Morocco U23,Apr-00,right,21,,
Alexandre Pierre,/alexandre-pierre/profil/spieler/838947,€100k,RC Strasbourg Alsace,FRA,"Feb 25, 2001 (22)",Aubervilliers,Haiti,"1,90 m",Goalkeeper,,Haiti,Jul-00,right,22,,
Abakar Sylla,/abakar-sylla/profil/spieler/962555,€8.00m,RC Strasbourg Alsace,FRA,"Dec 25, 2002 (20)",Yamoussoukro,Cote d'Ivoire,"1,88 m",Centre-Back,,Ivory Coast,May-00,left,20,,
Ismaël Doukouré,/ismael-doukoure/profil/spieler/786436,€6.00m,RC Strasbourg Alsace,FRA,"Jul 24, 2003 (20)",Lille,France,"1,83 m",Centre-Back,,,0 / 0,right,20,France U21,
Gerzino Nyamsi,/gerzino-nyamsi/profil/spieler/378953,€5.00m,RC Strasbourg Alsace,FRA,"Jan 22, 1997 (26)",Saint-Brieuc,France,"1,95 m",Centre-Back,,,Feb-00,right,26,,France U20
Junior Mwanga,/junior-mwanga/profil/spieler/1011200,€4.00m,RC Strasbourg Alsace,FRA,"May 11, 2003 (20)",Lyon,France,"1,84 m",Centre-Back,Sport Cover,,Mar-00,na,20,France U20,
Saïdou Sow,/saidou-sow/profil/spieler/807128,€3.50m,RC Strasbourg Alsace,FRA,"Jul 4, 2002 (21)",Conakry,Guinea,"1,85 m",Centre-Back,,Guinea,16 / 0,right,21,,
Lucas Perrin,/lucas-perrin/profil/spieler/352392,€3.00m,RC Strasbourg Alsace,FRA,"Nov 19, 1998 (24)",Marseille,France,"1,88 m",Centre-Back,,,,right,24,,
Steven Baseya,/steven-baseya/profil/spieler/988468,€50k,RC Strasbourg Alsace,FRA,"Jan 14, 2005 (18)",Longjumeau,France,,Centre-Back,,France U19,0 / 0,,18,,
Eduard Sobol,/eduard-sobol/profil/spieler/206717,€2.50m,RC Strasbourg Alsace,FRA,"Apr 20, 1995 (28)","Vilnyansk, ...",Ukraine,"1,86 m",Left-Back,ProStar,,29 / 0,left,28,Ukraine,
Thomas Delaine,/thomas-delaine/profil/spieler/170961,€1.20m,RC Strasbourg Alsace,FRA,"Mar 24, 1992 (31)",Lens,France,"1,80 m",Left-Back,,,,left,31,,
Maxime Bastian,/maxime-bastian/profil/spieler/847487,€1.20m,RC Strasbourg Alsace,FRA,"May 9, 2001 (22)",Saverne,France,"1,84 m",Left-Back,,,,left,22,,
Frédéric Guilbert,/frederic-guilbert/profil/spieler/354352,€4.50m,RC Strasbourg Alsace,FRA,"Dec 24, 1994 (28)",Valognes,France,"1,78 m",Right-Back,,,Jan-00,right,28,,France U21
Karol Fila,/karol-fila/profil/spieler/385817,€900k,RC Strasbourg Alsace,FRA,"Jun 13, 1998 (25)",Gdańsk,Poland,"1,83 m",Right-Back,,,13 / 1,right,25,,Poland U21
Marvin Senaya,/marvin-senaya/profil/spieler/830890,€900k,RC Strasbourg Alsace,FRA,"Jan 28, 2001 (22)",Saint-Louis,France,"1,81 m",Right-Back,,,,right,22,,
Habib Diarra,/habib-diarra/profil/spieler/876631,€10.00m,RC Strasbourg Alsace,FRA,"Jan 3, 2004 (19)",Guédiawaye,France,"1,79 m",Defensive Midfield,,France U21,0 / 0,right,19,,
Ibrahima Sissoko,/ibrahima-sissoko/profil/spieler/372712,€6.00m,RC Strasbourg Alsace,FRA,"Oct 27, 1997 (25)",Meaux,France,"1,93 m",Defensive Midfield,,,Apr-00,right,25,,France U21
Jean-Eudes Aholou,/jean-eudes-aholou/profil/spieler/178313,€2.50m,RC Strasbourg Alsace,FRA,"Mar 20, 1994 (29)",Yopougon,Cote d'Ivoire,"1,86 m",Defensive Midfield,,,Apr-00,left,29,Ivory Coast,
Sanjin Prcic,/sanjin-prcic/profil/spieler/125783,€3.00m,RC Strasbourg Alsace,FRA,"Nov 20, 1993 (29)",Belfort,Bosnia-Herzegovina,"1,81 m",Central Midfield,,Bosnia,17 / 0,right,29,,
Jessy Deminguet,/jessy-deminguet/profil/spieler/539232,€2.00m,RC Strasbourg Alsace,FRA,"Jan 7, 1998 (25)",Caen,France,"1,78 m",Central Midfield,,,Mar-00,left,25,,France U20
Dilane Bakwa,/dilane-bakwa/profil/spieler/540664,€4.00m,RC Strasbourg Alsace,FRA,"Aug 26, 2002 (21)",Créteil,France,"1,79 m",Left Winger,Sport Cover,,19 / 2,left,21,,France U17
Ângelo,/angelo/profil/spieler/743598,€13.00m,RC Strasbourg Alsace,FRA,"Dec 21, 2004 (18)",Brasília,Brazil,"1,80 m",Right Winger,,,Mar-00,left,18,Brazil U20,
Emanuel Emegha,/emanuel-emegha/profil/spieler/559328,€8.00m,RC Strasbourg Alsace,FRA,"Feb 3, 2003 (20)",Den Haag,Netherlands,"1,95 m",Centre-Forward,,Netherlands U21,0 / 0,right,20,,
Moïse Sahi Dion,/moise-sahi-dion/profil/spieler/880330,€3.00m,RC Strasbourg Alsace,FRA,"Dec 20, 2001 (21)",Abidjan,Cote d'Ivoire,"1,75 m",Centre-Forward,,,1-Jan,left,21,Ivory Coast U23,
Kévin Gameiro,/kevin-gameiro/profil/spieler/27389,€1.20m,RC Strasbourg Alsace,FRA,"May 9, 1987 (36)",Senlis,France,"1,72 m",Centre-Forward,,,13 / 3,right,36,,France
Lebo Mothiba,/lebo-mothiba/profil/spieler/427161,€1.20m,RC Strasbourg Alsace,FRA,"Jan 28, 1996 (27)","Johannesburg, ...",South Africa,"1,82 m",Centre-Forward,,South Africa,14 / 4,right,27,,
Yvon Mvogo,/yvon-mvogo/profil/spieler/147051,€3.50m,FC Lorient,FRA,"Jun 6, 1994 (29)",Yaounde,Switzerland,"1,90 m",Goalkeeper,,Switzerland,Apr-00,right,29,,
Alfred Gomis,/alfred-gomis/profil/spieler/163568,€2.20m,FC Lorient,FRA,"Sep 5, 1993 (30)",Ziguinchor,Senegal,"1,96 m",Goalkeeper,,Senegal,16 / 0,right,30,,
Dominique Youfeigane,/dominique-youfeigane/profil/spieler/591190,€300k,FC Lorient,FRA,"Feb 7, 2000 (23)",Saint-Maurice,Central African Republic,"1,88 m",Goalkeeper,,Central Africa,Mar-00,right,23,,
Montassar Talbi,/montassar-talbi/profil/spieler/496706,€8.00m,FC Lorient,FRA,"May 26, 1998 (25)",Paris,Tunisia,"1,90 m",Centre-Back,,Tunisia,30 / 2,right,25,,
Isaak Touré,/isaak-toure/profil/spieler/708678,€6.00m,FC Lorient,FRA,"Mar 28, 2003 (20)",Gonesse,France,"2,06 m",Centre-Back,,,0 / 0,left,20,France U20,
Formose Mendy,/formose-mendy/profil/spieler/649023,€3.00m,FC Lorient,FRA,"Jan 2, 2001 (22)",Dakar,Senegal,"1,91 m",Centre-Back,,Senegal,Apr-00,right,22,,
Julien Laporte,/julien-laporte/profil/spieler/386057,€2.50m,FC Lorient,FRA,"Nov 4, 1993 (29)",Aurillac,France,"1,85 m",Centre-Back,,,,right,29,,
Loris Mouyokolo,/loris-mouyokolo/profil/spieler/799936,€500k,FC Lorient,FRA,"May 22, 2001 (22)",Drancy,France,"1,94 m",Centre-Back,,,,right,22,,
Benjamin Mendy,/benjamin-mendy/profil/spieler/157495,€3.00m,FC Lorient,FRA,"Jul 17, 1994 (29)",Longjumeau,France,"1,85 m",Left-Back,Sport Cover,,Oct-00,left,29,,France
Darlin Yongwa,/darlin-yongwa/profil/spieler/717118,€1.20m,FC Lorient,FRA,"Sep 22, 2000 (22)",Douala,Cameroon,"1,77 m",Left-Back,,Cameroon,Jan-00,left,22,,
Vincent Le Goff,/vincent-le-goff/profil/spieler/120651,€1.00m,FC Lorient,FRA,"Oct 15, 1989 (33)",Quimper,France,"1,77 m",Left-Back,,,,left,33,,
Gédéon Kalulu,/gedeon-kalulu/profil/spieler/395685,€5.00m,FC Lorient,FRA,"Aug 29, 1997 (26)",Lyon,DR Congo,"1,79 m",Right-Back,Classico,DR Congo,Mar-00,right,26,,
Igor Silva,/igor-silva/profil/spieler/391720,€1.50m,FC Lorient,FRA,"Aug 21, 1996 (27)",Niterói,Brazil,"1,73 m",Right-Back,,,,right,27,,
Dembo Sylla,/dembo-sylla/profil/spieler/1049151,€600k,FC Lorient,FRA,"Nov 10, 2002 (20)",Laval,Guinea,"1,75 m",Right-Back,,Guinea,Mar-00,right,20,,
Laurent Abergel,/laurent-abergel/profil/spieler/238626,€3.00m,FC Lorient,FRA,"Feb 1, 1993 (30)",Marseille,France,"1,70 m",Defensive Midfield,,,,right,30,,
Tiemoué Bakayoko,/tiemoue-bakayoko/profil/spieler/182618,€2.50m,FC Lorient,FRA,"Aug 17, 1994 (29)",Paris,France,"1,89 m",Defensive Midfield,,,Jan-00,right,29,,France
Bonke Innocent,/bonke-innocent/profil/spieler/333383,€2.00m,FC Lorient,FRA,"Jan 20, 1996 (27)",Kaduna,Nigeria,"1,78 m",Defensive Midfield,,,Apr-00,right,27,,Nigeria
Jean-Victor Makengo,/jean-victor-makengo/profil/spieler/322305,€10.00m,FC Lorient,FRA,"Jun 12, 1998 (25)",Étampes,France,"1,77 m",Central Midfield,Sport Cover,,Mar-00,left,25,,France U21
Ayman Kari,/ayman-kari/profil/spieler/810093,€1.00m,FC Lorient,FRA,"Nov 19, 2004 (18)",Ivry-sur-Seine,France,"1,76 m",Central Midfield,,,Mar-00,right,18,France U19,
Romain Faivre,/romain-faivre/profil/spieler/555076,€10.00m,FC Lorient,FRA,"Jul 14, 1998 (25)",Asnières-sur-Seine,France,"1,80 m",Right Midfield,Classico,,2-Aug,left,25,,France U21
Théo Le Bris,/theo-le-bris/profil/spieler/766412,€3.00m,FC Lorient,FRA,"Oct 1, 2002 (20)",Rennes,France,"1,70 m",Left Midfield,Ltma Consulting,,Jan-00,right,20,,France U20
Julien Ponceau,/julien-ponceau/profil/spieler/569390,€2.50m,FC Lorient,FRA,"Nov 28, 2000 (22)",Catumbela,France,"1,70 m",Attacking Midfield,,,Jan-00,right,22,,France U20
Quentin Boisgard,/quentin-boisgard/profil/spieler/412671,€1.00m,FC Lorient,FRA,"Mar 17, 1997 (26)",Toulouse,France,"1,74 m",Attacking Midfield,,,,right,26,,
Eli Junior Kroupi,/eli-junior-kroupi/profil/spieler/955357,€400k,FC Lorient,FRA,"Jun 23, 2006 (17)",Lorient,France,"1,79 m",Attacking Midfield,,,3-May,right,17,France U17,
Joel Mvuka,/joel-mvuka/profil/spieler/700078,€4.50m,FC Lorient,FRA,"Nov 12, 2002 (20)",Gitega,Norway,"1,73 m",Right Winger,,Norway U21,Feb-00,right,20,,
Bamba Dieng,/bamba-dieng/profil/spieler/822458,€8.00m,FC Lorient,FRA,"Mar 23, 2000 (23)",Pikine,Senegal,"1,78 m",Centre-Forward,,,18 / 2,right,23,Senegal,
Aiyegun Tosin,/aiyegun-tosin/profil/spieler/239647,€3.20m,FC Lorient,FRA,"Jun 26, 1998 (25)",Lagos,Benin,"1,79 m",Centre-Forward,,Benin,3-Oct,right,25,,
Pablo Pagis,/pablo-pagis/profil/spieler/810411,€1.50m,FC Lorient,FRA,"Dec 29, 2002 (20)",Montbéliard,France,"1,80 m",Centre-Forward,,,,na,20,,
Adrian Grbic,/adrian-grbic/profil/spieler/167342,€1.50m,FC Lorient,FRA,"Aug 4, 1996 (27)",Wien,Austria,"1,88 m",Centre-Forward,,,4-Sep,na,27,,Austria
Siriné Doucouré,/sirine-doucoure/profil/spieler/802747,€500k,FC Lorient,FRA,"Apr 8, 2002 (21)",Nogent-sur-Marne,France,"1,93 m",Centre-Forward,,,,right,21,,
Benjamin Lecomte,/benjamin-lecomte/profil/spieler/127181,€4.00m,Montpellier HSC,FRA,"Apr 26, 1991 (32)",Paris,France,"1,86 m",Goalkeeper,,,0 / 0,left,32,,France
Dimitry Bertaud,/dimitry-bertaud/profil/spieler/371816,€1.50m,Montpellier HSC,FRA,"Jun 6, 1998 (25)",Montpellier,France,"1,80 m",Goalkeeper,,,Jan-00,right,25,,France U21
Belmin Dizdarevic,/belmin-dizdarevic/profil/spieler/483007,€200k,Montpellier HSC,FRA,"Aug 9, 2001 (22)",Zenica,Bosnia-Herzegovina,"1,89 m",Goalkeeper,,,Jan-00,,22,,Bosnia
Maxime Estève,/maxime-esteve/profil/spieler/842341,€7.00m,Montpellier HSC,FRA,"May 26, 2002 (21)",Montpellier,France,"1,93 m",Centre-Back,,France U21,0 / 0,left,21,,
Kiki Kouyaté,/kiki-kouyate/profil/spieler/211637,€5.00m,Montpellier HSC,FRA,"Apr 15, 1997 (26)",Bamako,Mali,"1,92 m",Centre-Back,,Mali,25 / 0,na,26,,
Christopher Jullien,/christopher-jullien/profil/spieler/201737,€3.50m,Montpellier HSC,FRA,"Mar 22, 1993 (30)",Lagny-sur-Marne,France,"1,96 m",Centre-Back,Classico,,Feb-00,right,30,,France U20
Becir Omeragic,/becir-omeragic/profil/spieler/507344,€3.00m,Montpellier HSC,FRA,"Jan 20, 2002 (21)",Genf,Switzerland,"1,87 m",Centre-Back,,Switzerland U21,Sep-00,right,21,,
Mamadou Sakho,/mamadou-sakho/profil/spieler/47713,€2.50m,Montpellier HSC,FRA,"Feb 13, 1990 (33)",Paris,France,"1,87 m",Centre-Back,,,29 / 2,left,33,,France
Issiaga Sylla,/issiaga-sylla/profil/spieler/220878,€2.50m,Montpellier HSC,FRA,"Jan 1, 1994 (29)",Conakry,Guinea,"1,80 m",Left-Back,,Guinea,74 / 3,left,29,,
Théo Sainte-Luce,/theo-sainte-luce/profil/spieler/537127,€2.00m,Montpellier HSC,FRA,"Oct 20, 1998 (24)",Chauny,France,"1,76 m",Left-Back,,,,left,24,,
Falaye Sacko,/falaye-sacko/profil/spieler/364857,€4.00m,Montpellier HSC,FRA,"May 1, 1995 (28)",Bamako,Mali,"1,79 m",Right-Back,,Mali,32 / 1,right,28,,
Enzo Tchato,/enzo-tchato/profil/spieler/842338,€2.50m,Montpellier HSC,FRA,"Nov 23, 2002 (20)",Montpellier,Cameroon,"1,82 m",Right-Back,,Cameroon,Feb-00,right,20,,
Joris Chotard,/joris-chotard/profil/spieler/624037,€9.00m,Montpellier HSC,FRA,"Sep 24, 2001 (21)",Orange,France,"1,79 m",Defensive Midfield,,,Jun-00,right,21,France U21,
Jordan Ferri,/jordan-ferri/profil/spieler/118284,€5.00m,Montpellier HSC,FRA,"Mar 12, 1992 (31)",Cavaillon,France,"1,73 m",Central Midfield,,,1-Jun,right,31,,France U21
Khalil Fayad,/khalil-fayad/profil/spieler/782630,€4.50m,Montpellier HSC,FRA,"Jun 9, 2004 (19)",Montpellier,France,"1,76 m",Central Midfield,,France U20,0 / 0,right,19,,
Léo Leroy,/leo-leroy/profil/spieler/650350,€1.20m,Montpellier HSC,FRA,"Feb 14, 2000 (23)",Marseille,France,"1,87 m",Central Midfield,,,Mar-00,,23,,France U19
Téji Savanier,/teji-savanier/profil/spieler/127156,€10.00m,Montpellier HSC,FRA,"Dec 22, 1991 (31)",Montpellier,France,"1,72 m",Attacking Midfield,,,Jan-00,right,31,,France U23
Sacha Delaye,/sacha-delaye/profil/spieler/842425,€400k,Montpellier HSC,FRA,"Apr 23, 2002 (21)",Rennes,France,"1,71 m",Attacking Midfield,,,,right,21,,
Arnaud Nordin,/arnaud-nordin/profil/spieler/324811,€7.00m,Montpellier HSC,FRA,"Jun 17, 1998 (25)",Paris,France,"1,70 m",Right Winger,,,Jan-00,left,25,,France U23
Mousa Al-Tamari,/mousa-al-tamari/profil/spieler/551505,€2.50m,Montpellier HSC,FRA,"Jun 10, 1997 (26)",Amman,Jordan,"1,78 m",Right Winger,,Jordan,54 / 13,left,26,,
Akor Adams,/akor-adams/profil/spieler/607034,€4.00m,Montpellier HSC,FRA,"Jan 29, 2000 (23)",Kogi,Nigeria,"1,90 m",Centre-Forward,,,Feb-00,right,23,,Nigeria U20
Kelvin Yeboah,/kelvin-yeboah/profil/spieler/589737,€3.50m,Montpellier HSC,FRA,"May 6, 2000 (23)",Accra,Italy,"1,85 m",Centre-Forward,,,Apr-00,right,23,,Italy U21
Wahbi Khazri,/wahbi-khazri/profil/spieler/103565,€2.50m,Montpellier HSC,FRA,"Feb 8, 1991 (32)",Ajaccio,Tunisia,"1,76 m",Centre-Forward,,,74 / 25,right,32,,Tunisia
Yanis Guermouche,/yanis-guermouche/profil/spieler/876034,€150k,Montpellier HSC,FRA,"Apr 15, 2001 (22)",Neuilly-sur-Seine,Algeria,"1,92 m",Centre-Forward,,Algeria U20,0 / 0,,22,,
