name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,current_international,caps/goals,foot,age,national_player,former_international
Emran Soglo,/emran-soglo/profil/spieler/913495,,Olympique Marseille,FRA,"Jul 11, 2005 (18)",Créteil,England,"1,78 m",Left Midfield,,England U20,0 / 0,left,18,,
Amine Harit,/amine-harit/profil/spieler/372711,€12.00m,Olympique Marseille,FRA,"Jun 18, 1997 (26)",Pontoise,Morocco,"1,80 m",Attacking Midfield,Sport Cover,Morocco,16 / 0,right,26,,
Ismaïla Sarr,/ismaila-sarr/profil/spieler/410225,€20.00m,Olympique Marseille,FRA,"Feb 25, 1998 (25)",Saint-Louis,Senegal,"1,85 m",Right Winger,,Senegal,54 / 11,right,25,,
François Mughe,/francois-mughe/profil/spieler/1027216,€300k,Olympique Marseille,FRA,"Jun 16, 2004 (19)",Douala,Cameroon,"1,73 m",Right Winger,,Cameroon,0 / 0,right,19,,
Iliman Ndiaye,/iliman-ndiaye/profil/spieler/623570,€18.00m,Olympique Marseille,FRA,"Mar 6, 2000 (23)",Rouen,Senegal,"1,80 m",Second Striker,Classico,Senegal,1-Jul,right,23,,
Joaquín Correa,/joaquin-correa/profil/spieler/227081,€12.00m,Olympique Marseille,FRA,"Aug 13, 1994 (29)",Juan Bautista ...,Argentina,"1,88 m",Second Striker,,,19 / 4,right,29,Argentina,
Vitinha,/vitinha/profil/spieler/586853,€18.00m,Olympique Marseille,FRA,"Mar 15, 2000 (23)",Cabeceiras de Basto,Portugal,"1,78 m",Centre-Forward,,,4-Oct,right,23,Portugal U21,
Pierre-Emerick Aubameyang,/pierre-emerick-aubameyang/profil/spieler/58864,€4.00m,Olympique Marseille,FRA,"Jun 18, 1989 (34)",Laval,Gabon,"1,87 m",Centre-Forward,,Gabon,74 / 30,right,34,,
Marcin Bulka,/marcin-bulka/profil/spieler/465955,€2.00m,OGC Nice,FRA,"Oct 4, 1999 (23)",Płock,Poland,"1,99 m",Goalkeeper,,Poland,0 / 0,right,23,,
Teddy Boulhendi,/teddy-boulhendi/profil/spieler/789419,€150k,OGC Nice,FRA,"Apr 9, 2001 (22)",Martigues,Algeria,"1,85 m",Goalkeeper,,Algeria U23,0 / 0,,22,,
Jean-Clair Todibo,/jean-clair-todibo/profil/spieler/605184,€30.00m,OGC Nice,FRA,"Dec 30, 1999 (23)",Cayenne,France,"1,90 m",Centre-Back,,France,0 / 0,right,23,,
Youssouf Ndayishimiye,/youssouf-ndayishimiye/profil/spieler/674612,€12.00m,OGC Nice,FRA,"Oct 27, 1998 (24)",Bujumbura,Burundi,"1,83 m",Centre-Back,FutureBall,Burundi,18 / 1,right,24,,
Dante,/dante/profil/spieler/16136,€600k,OGC Nice,FRA,"Oct 18, 1983 (39)",Salvador da Bahia,Brazil,"1,88 m",Centre-Back,,,13 / 2,left,39,,Brazil
Yannis Nahounou,/yannis-nahounou/profil/spieler/904707,€150k,OGC Nice,FRA,"May 16, 2004 (19)",Meaux,France,"1,93 m",Centre-Back,,France U20,0 / 0,right,19,,
Romain Perraud,/romain-perraud/profil/spieler/318523,€12.00m,OGC Nice,FRA,"Sep 22, 1997 (25)",Toulouse,France,"1,73 m",Left-Back,Unique Sports Group,,0 / 0,left,25,,France U21
Melvin Bard,/melvin-bard/profil/spieler/532775,€7.00m,OGC Nice,FRA,"Nov 6, 2000 (22)",Écully,France,"1,73 m",Left-Back,,,Jan-00,left,22,,France U23
Ayoub Amraoui,/ayoub-amraoui/profil/spieler/860051,€2.50m,OGC Nice,FRA,"May 14, 2004 (19)",La Seyne,Morocco,"1,84 m",Left-Back,,Morocco U23,May-00,left,19,,
Jordan Lotomba,/jordan-lotomba/profil/spieler/313094,€8.00m,OGC Nice,FRA,"Sep 29, 1998 (24)",Yverdon-les-Bains,Switzerland,"1,77 m",Right-Back,Classico,,1-Jul,right,24,Switzerland,
Youcef Atal,/youcef-atal/profil/spieler/416108,€7.00m,OGC Nice,FRA,"May 17, 1996 (27)",Boghni,Algeria,"1,76 m",Right-Back,,,29 / 2,na,27,Algeria,
Antoine Mendy,/antoine-mendy/profil/spieler/891998,€1.00m,OGC Nice,FRA,"May 27, 2004 (19)",Marseille,France,"1,87 m",Right-Back,,,,right,19,,
Pablo Rosario,/pablo-rosario/profil/spieler/370791,€6.00m,OGC Nice,FRA,"Jan 7, 1997 (26)",Amsterdam,Netherlands,"1,85 m",Defensive Midfield,Team Raiola,,Jan-00,right,26,,Netherlands
Alexis Beka Beka,/alexis-beka-beka/profil/spieler/539065,€4.50m,OGC Nice,FRA,"Mar 29, 2001 (22)",Paris,France,"1,78 m",Defensive Midfield,Classico,,Jan-00,right,22,,France U23
Reda Belahyane,/reda-belahyane/profil/spieler/982855,€300k,OGC Nice,FRA,"Jun 1, 2004 (19)",Aubervilliers,France,"1,69 m",Defensive Midfield,,,May-00,,19,,France U18
Khéphren Thuram,/khephren-thuram/profil/spieler/463618,€40.00m,OGC Nice,FRA,"Mar 26, 2001 (22)",Reggio Emilia,France,"1,92 m",Central Midfield,,,Jan-00,right,22,France,
Hicham Boudaoui,/hicham-boudaoui/profil/spieler/560593,€8.00m,OGC Nice,FRA,"Sep 23, 1999 (23)",Béchar,Algeria,"1,75 m",Central Midfield,Elite Sports ...,Algeria,Dec-00,right,23,,
