name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,current_international,caps/goals,foot,age,former_international,national_player
Chris Basham,/chris-basham/profil/spieler/52495,€300k,Sheffield United,ENG,"Jul 20, 1988 (35)",Hebburn,England,"1,90 m",Centre-Back,,,,right,35,,
Luke Thomas,/luke-thomas/profil/spieler/505194,€12.00m,Sheffield United,ENG,"Jun 10, 2001 (22)",Syston,England,"1,81 m",Left-Back,,,15 / 0,left,22,,England U21
Yasser Larouci,/yasser-larouci/profil/spieler/554251,€3.50m,Sheffield United,ENG,"Jan 1, 2001 (22)",El Oued,France,"1,76 m",Left-Back,,,1-Jan,left,22,,France U21
Max Lowe,/max-lowe/profil/spieler/258885,€3.00m,Sheffield United,ENG,"May 11, 1997 (26)",South Normanton,England,"1,75 m",Left-Back,Unique Sports Group,,Jun-00,left,26,England U20,
Rhys Norrington-Davies,/rhys-norrington-davies/profil/spieler/543164,€3.00m,Sheffield United,ENG,"Apr 22, 1999 (24)",Riyadh,Wales,"1,81 m",Left-Back,,,13 / 1,left,24,,Wales
Jayden Bogle,/jayden-bogle/profil/spieler/465717,€3.80m,Sheffield United,ENG,"Jul 27, 2000 (23)",Reading,England,"1,78 m",Right-Back,CAA Stellar,,Mar-00,right,23,England U20,
Femi Seriki,/femi-seriki/profil/spieler/638649,€175k,Sheffield United,ENG,"Apr 28, 2002 (21)",,England,"1,80 m",Right-Back,,,,right,21,,
Gustavo Hamer,/gustavo-hamer/profil/spieler/322985,€8.00m,Sheffield United,ENG,"Jun 24, 1997 (26)",Itajai,Netherlands,"1,69 m",Defensive Midfield,CAA Stellar,,Mar-00,right,26,Netherlands U20,
Vini Souza,/vini-souza/profil/spieler/663581,€6.00m,Sheffield United,ENG,"Jun 17, 1999 (24)",Rio de Janeiro,Brazil,"1,87 m",Defensive Midfield,,,,right,24,,
James McAtee,/james-mcatee/profil/spieler/583199,€12.00m,Sheffield United,ENG,"Oct 18, 2002 (20)",Salford,England,"1,80 m",Central Midfield,,England U21,Mar-00,left,20,,
Tom Davies,/tom-davies/profil/spieler/314210,€9.00m,Sheffield United,ENG,"Jun 30, 1998 (25)",Liverpool,England,"1,80 m",Central Midfield,,,23 / 2,right,25,England U21,
Anis Slimane,/anis-slimane/profil/spieler/546712,€2.50m,Sheffield United,ENG,"Mar 16, 2001 (22)",Kopenhagen,Tunisia,"1,88 m",Central Midfield,,,29 / 4,na,22,,Tunisia
Oliver Norwood,/oliver-norwood/profil/spieler/73547,€2.00m,Sheffield United,ENG,"Apr 12, 1991 (32)",Burnley,Northern Ireland,"1,75 m",Central Midfield,Unique Sports Group,,57 / 0,right,32,N. Ireland,
John Fleck,/john-fleck/profil/spieler/54383,€1.00m,Sheffield United,ENG,"Aug 24, 1991 (32)",Glasgow,Scotland,"1,69 m",Central Midfield,,,May-00,left,32,Scotland,
Ismaila Coulibaly,/ismaila-coulibaly/profil/spieler/490224,€1.00m,Sheffield United,ENG,"Dec 25, 2000 (22)",,Mali,"1,83 m",Central Midfield,,Mali,Jan-00,right,22,,
Ben Osborn,/ben-osborn/profil/spieler/218087,€1.00m,Sheffield United,ENG,"Aug 5, 1994 (29)",Derby,England,"1,76 m",Central Midfield,Unique Sports Group,,Jan-00,left,29,England U20,
George Baldock,/george-baldock/profil/spieler/146690,€3.50m,Sheffield United,ENG,"Mar 9, 1993 (30)",Buckingham,Greece,"1,78 m",Right Midfield,,Greece,Sep-00,right,30,,
Cameron Archer,/cameron-archer/profil/spieler/533662,€12.00m,Sheffield United,ENG,"Dec 9, 2001 (21)",Walsall,England,"1,75 m",Centre-Forward,Unique Sports Group,,6-Nov,right,21,,England U21
Oli McBurnie,/oli-mcburnie/profil/spieler/298477,€5.00m,Sheffield United,ENG,"Jun 4, 1996 (27)",Leeds,Scotland,"1,88 m",Centre-Forward,CAA Stellar,,17 / 0,right,27,Scotland,
Rhian Brewster,/rhian-brewster/profil/spieler/406560,€4.00m,Sheffield United,ENG,"Apr 1, 2000 (23)",London,England,"1,80 m",Centre-Forward,ROOF,,18 / 3,right,23,,England U21
Bénie Traoré,/benie-traore/profil/spieler/852024,€3.50m,Sheffield United,ENG,"Nov 30, 2002 (20)",,Cote d'Ivoire,"1,72 m",Centre-Forward,Classico,,Jan-00,right,20,,Ivory Coast U23
Daniel Jebbison,/daniel-jebbison/profil/spieler/746740,€1.00m,Sheffield United,ENG,"Jul 11, 2003 (20)","Oakville, Ontario",Canada,"1,90 m",Centre-Forward,,,1-May,right,20,,England U20
William Osula,/william-osula/profil/spieler/609556,€250k,Sheffield United,ENG,"Aug 4, 2003 (20)",Aarhus,Denmark,"1,86 m",Centre-Forward,CAA Stellar,Denmark U21,0 / 0,right,20,,
Thomas Kaminski,/thomas-kaminski/profil/spieler/77757,€2.20m,Luton Town,ENG,"Oct 23, 1992 (30)",Dendermonde,Belgium,"1,90 m",Goalkeeper,SEG,Belgium,0 / 0,,30,,
Tim Krul,/tim-krul/profil/spieler/33027,€600k,Luton Town,ENG,"Apr 3, 1988 (35)",Den Haag,Netherlands,"1,93 m",Goalkeeper,,,15 / 0,left,35,Netherlands,
James Shea,/james-shea/profil/spieler/91340,€200k,Luton Town,ENG,"Jun 16, 1991 (32)",London,England,,Goalkeeper,,,,,32,,
Tom Lockyer,/tom-lockyer/profil/spieler/207742,€3.00m,Luton Town,ENG,"Dec 3, 1994 (28)",Cardiff,Wales,"1,85 m",Centre-Back,,,14 / 0,right,28,,Wales
Teden Mengi,/teden-mengi/profil/spieler/548470,€2.00m,Luton Town,ENG,"Apr 30, 2002 (21)",Manchester,England,"1,86 m",Centre-Back,,,Jan-00,right,21,England U20,
Mads Andersen,/mads-andersen/profil/spieler/407021,€2.00m,Luton Town,ENG,"Dec 27, 1997 (25)",Albertslund,Denmark,"1,94 m",Centre-Back,,,Feb-00,right,25,Denmark U19,
Reece Burke,/reece-burke/profil/spieler/264220,€1.80m,Luton Town,ENG,"Sep 2, 1996 (27)",London,England,"1,89 m",Centre-Back,CAA Stellar,,Mar-00,right,27,England U20,
Gabriel Osho,/gabriel-osho/profil/spieler/364409,€600k,Luton Town,ENG,"Aug 14, 1998 (25)",Reading,England,"1,85 m",Centre-Back,,,,right,25,,
Ryan Giles,/ryan-giles/profil/spieler/504581,€9.00m,Luton Town,ENG,"Jan 26, 2000 (23)",Telford,England,"1,79 m",Left-Back,Unique Sports Group,,Apr-00,left,23,England U20,
Amari'i Bell,/amarii-bell/profil/spieler/278166,€2.00m,Luton Town,ENG,"May 5, 1994 (29)",Burton upon Trent,Jamaica,"1,80 m",Left-Back,,Jamaica,15 / 1,left,29,,
Dan Potts,/dan-potts/profil/spieler/207037,€1.00m,Luton Town,ENG,"Apr 13, 1994 (29)",London,England,"1,73 m",Left-Back,CAA Stellar,,Feb-00,left,29,England U20,
Issa Kaboré,/issa-kabore/profil/spieler/649452,€7.00m,Luton Town,ENG,"May 12, 2001 (22)",Bobo-Dioulasso,Burkina Faso,"1,80 m",Right-Back,,Burkina Faso,32 / 2,right,22,,
Marvelous Nakamba,/marvelous-nakamba/profil/spieler/324882,€4.00m,Luton Town,ENG,"Jan 19, 1994 (29)",Hwange,Zimbabwe,"1,77 m",Defensive Midfield,CAA Stellar,,26 / 0,left,29,Zimbabwe,
Pelly Ruddock Mpanzu,/pelly-ruddock-mpanzu/profil/spieler/244338,€1.00m,Luton Town,ENG,"Mar 22, 1994 (29)",London,DR Congo,"1,75 m",Defensive Midfield,,DR Congo,Feb-00,right,29,,
Albert Sambi Lokonga,/albert-sambi-lokonga/profil/spieler/381967,€15.00m,Luton Town,ENG,"Oct 22, 1999 (23)",Verviers,Belgium,"1,83 m",Central Midfield,,,Jan-00,right,23,Belgium,
Ross Barkley,/ross-barkley/profil/spieler/131978,€6.00m,Luton Town,ENG,"Dec 5, 1993 (29)",Liverpool,England,"1,89 m",Central Midfield,,,33 / 6,right,29,England,
Jordan Clark,/jordan-clark/profil/spieler/184129,€900k,Luton Town,ENG,"Sep 22, 1993 (29)",Hoyland,England,"1,83 m",Central Midfield,,,,right,29,,
Luke Berry,/luke-berry/profil/spieler/125685,€400k,Luton Town,ENG,"Jul 12, 1992 (31)",Bassingbourn,England,"1,77 m",Central Midfield,,,,right,31,,
Alfie Doughty,/alfie-doughty/profil/spieler/608175,€2.20m,Luton Town,ENG,"Dec 21, 1999 (23)",London,England,"1,83 m",Left Midfield,Refuel Performance ...,,,left,23,,
Tahith Chong,/tahith-chong/profil/spieler/344830,€3.20m,Luton Town,ENG,"Dec 4, 1999 (23)",Willemstad,Netherlands,"1,85 m",Attacking Midfield,ROGON,,Jun-00,left,23,Netherlands U21,
Chiedozie Ogbene,/chiedozie-ogbene/profil/spieler/392591,€2.00m,Luton Town,ENG,"May 1, 1997 (26)",Lagos,Ireland,"1,81 m",Right Winger,,Ireland,15 / 4,right,26,,
Carlton Morris,/carlton-morris/profil/spieler/246963,€6.00m,Luton Town,ENG,"Dec 16, 1995 (27)",Cambridge,England,"1,85 m",Centre-Forward,CAA Stellar,,2-Feb,right,27,England U19,
Elijah Adebayo,/elijah-adebayo/profil/spieler/319900,€6.00m,Luton Town,ENG,"Jan 7, 1998 (25)",London,England,"1,93 m",Centre-Forward,CAA Stellar,,,,25,,
Jacob Brown,/jacob-brown/profil/spieler/469958,€6.00m,Luton Town,ENG,"Apr 10, 1998 (25)",Halifax,Scotland,"1,78 m",Centre-Forward,,,Jun-00,right,25,,Scotland
Cauley Woodrow,/cauley-woodrow/profil/spieler/169801,€1.20m,Luton Town,ENG,"Dec 2, 1994 (28)",Hemel Hempstead,England,"1,84 m",Centre-Forward,CAA Stellar,,3-Sep,right,28,England U21,
