name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,current_international,caps/goals,foot,age,former_international,national_player,agent
Stefan de Vrij,/stefan-de-vrij/profil/spieler/111196,€8.00m,Inter Milan,ITA,"Feb 5, 1992 (31)",Ouderkerk aan den ...,Netherlands,"1,89 m",Centre-Back,Netherlands,60 / 3,right,31,,,
Yann Bisseck,/yann-bisseck/profil/spieler/441986,€5.00m,Inter Milan,ITA,"Nov 29, 2000 (22)",Köln,Germany,"1,96 m",Centre-Back,,1-Aug,right,22,,Germany U21,
Francesco Acerbi,/francesco-acerbi/profil/spieler/131075,€4.00m,Inter Milan,ITA,"Feb 10, 1988 (35)",Vizzolo Predabissi,Italy,"1,92 m",Centre-Back,,31 / 1,left,35,,Italy,
Federico Dimarco,/federico-dimarco/profil/spieler/198116,€35.00m,Inter Milan,ITA,"Nov 10, 1997 (25)",Milano,Italy,"1,75 m",Left-Back,Italy,2-Oct,left,25,,,
Matteo Darmian,/matteo-darmian/profil/spieler/54906,€4.00m,Inter Milan,ITA,"Dec 2, 1989 (33)",Legnano,Italy,"1,83 m",Right-Back,Italy,38 / 1,right,33,,,
Kristjan Asllani,/kristjan-asllani/profil/spieler/543771,€12.00m,Inter Milan,ITA,"Mar 9, 2002 (21)",Elbasan,Albania,"1,75 m",Defensive Midfield,Albania,2-Dec,right,21,,,
Lucien Agoumé,/lucien-agoume/profil/spieler/569384,€7.00m,Inter Milan,ITA,"Feb 9, 2002 (21)",Yaoundé,France,"1,85 m",Defensive Midfield,France U21,0 / 0,right,21,,,
Nicolò Barella,/nicolo-barella/profil/spieler/255942,€75.00m,Inter Milan,ITA,"Feb 7, 1997 (26)",Cagliari,Italy,"1,75 m",Central Midfield,Italy,45 / 8,right,26,,,
Hakan Calhanoglu,/hakan-calhanoglu/profil/spieler/126414,€40.00m,Inter Milan,ITA,"Feb 8, 1994 (29)",Mannheim,Turkey,"1,78 m",Central Midfield,Turkey,79 / 17,right,29,,,Unique Sports Group
Davide Frattesi,/davide-frattesi/profil/spieler/394300,€25.00m,Inter Milan,ITA,"Sep 22, 1999 (23)",Roma,Italy,"1,78 m",Central Midfield,Italy,1-Jun,right,23,,,
Davy Klaassen,/davy-klaassen/profil/spieler/182932,€10.00m,Inter Milan,ITA,"Feb 21, 1993 (30)",Hilversum,Netherlands,"1,79 m",Central Midfield,,41 / 10,right,30,,Netherlands,
Stefano Sensi,/stefano-sensi/profil/spieler/216179,€8.00m,Inter Milan,ITA,"Aug 5, 1995 (28)",Urbino,Italy,"1,68 m",Central Midfield,,3-Sep,right,28,Italy,,
Henrikh Mkhitaryan,/henrikh-mkhitaryan/profil/spieler/55735,€6.00m,Inter Milan,ITA,"Jan 21, 1989 (34)",Yerevan,Armenia,"1,77 m",Central Midfield,,95 / 32,na,34,Armenia,,Rafaela Pimenta
Denzel Dumfries,/denzel-dumfries/profil/spieler/321528,€28.00m,Inter Milan,ITA,"Apr 18, 1996 (27)",Rotterdam,Netherlands,"1,88 m",Right Midfield,Netherlands,45 / 6,right,27,,,
Juan Cuadrado,/juan-cuadrado/profil/spieler/91970,€4.00m,Inter Milan,ITA,"May 26, 1988 (35)",Necoclí,Colombia,"1,76 m",Right Midfield,Colombia,116 / 10,right,35,,,Andrei Martínez
Carlos Augusto,/carlos-augusto/profil/spieler/585982,€15.00m,Inter Milan,ITA,"Jan 7, 1999 (24)",Campinas,Brazil,"1,84 m",Left Midfield,,0 / 0,left,24,Brazil U20,,
Lautaro Martínez,/lautaro-martinez/profil/spieler/406625,€85.00m,Inter Milan,ITA,"Aug 22, 1997 (26)",Bahía Blanca,Argentina,"1,74 m",Centre-Forward,Argentina,49 / 21,right,26,,,
Marcus Thuram,/marcus-thuram/profil/spieler/318528,€32.00m,Inter Milan,ITA,"Aug 6, 1997 (26)",Parma,France,"1,92 m",Centre-Forward,France,1-Nov,right,26,,,Sport Cover
Marko Arnautovic,/marko-arnautovic/profil/spieler/41384,€5.00m,Inter Milan,ITA,"Apr 19, 1989 (34)",Wien,Austria,"1,90 m",Centre-Forward,Austria,108 / 34,na,34,,,
Alexis Sánchez,/alexis-sanchez/profil/spieler/40433,€4.00m,Inter Milan,ITA,"Dec 19, 1988 (34)",Tocopilla,Chile,"1,69 m",Centre-Forward,Chile,153 / 51,right,34,,,Vibra Futbol
Wojciech Szczesny,/wojciech-szczesny/profil/spieler/44058,€10.00m,Juventus FC,ITA,"Apr 18, 1990 (33)",Warszawa,Poland,"1,96 m",Goalkeeper,Poland,74 / 0,right,33,,,CAA Stellar
Mattia Perin,/mattia-perin/profil/spieler/110923,€4.00m,Juventus FC,ITA,"Nov 10, 1992 (30)",Latina,Italy,"1,88 m",Goalkeeper,,Feb-00,right,30,Italy,,
Carlo Pinsoglio,/carlo-pinsoglio/profil/spieler/75411,€200k,Juventus FC,ITA,"Mar 16, 1990 (33)",Moncalieri,Italy,"1,94 m",Goalkeeper,,Sep-00,left,33,Italy U21,,
Bremer,/bremer/profil/spieler/516716,€40.00m,Juventus FC,ITA,"Mar 18, 1997 (26)",Itapitanga,Brazil,"1,88 m",Centre-Back,,Mar-00,right,26,,Brazil,
Federico Gatti,/federico-gatti/profil/spieler/509022,€12.00m,Juventus FC,ITA,"Jun 24, 1998 (25)",Rivoli,Italy,"1,90 m",Centre-Back,,Feb-00,right,25,,Italy,
Daniele Rugani,/daniele-rugani/profil/spieler/162959,€2.00m,Juventus FC,ITA,"Jul 29, 1994 (29)",Lucca,Italy,"1,90 m",Centre-Back,,Jul-00,right,29,Italy,,
Andrea Cambiaso,/andrea-cambiaso/profil/spieler/459658,€8.00m,Juventus FC,ITA,"Feb 20, 2000 (23)",Genova,Italy,"1,82 m",Left-Back,,Aug-00,na,23,,Italy U21,
Alex Sandro,/alex-sandro/profil/spieler/79960,€3.00m,Juventus FC,ITA,"Jan 26, 1991 (32)",Catanduva,Brazil,"1,81 m",Left-Back,,40 / 2,left,32,,Brazil,
Danilo,/danilo/profil/spieler/145707,€15.00m,Juventus FC,ITA,"Jul 15, 1991 (32)",Bicas,Brazil,"1,84 m",Right-Back,Brazil,52 / 1,right,32,,,
Mattia De Sciglio,/mattia-de-sciglio/profil/spieler/88682,€3.00m,Juventus FC,ITA,"Oct 20, 1992 (30)",Milano,Italy,"1,83 m",Right-Back,,40 / 0,right,30,Italy,,
Manuel Locatelli,/manuel-locatelli/profil/spieler/265088,€30.00m,Juventus FC,ITA,"Jan 8, 1998 (25)",Lecco,Italy,"1,85 m",Defensive Midfield,Italy,24 / 3,right,25,,,
Adrien Rabiot,/adrien-rabiot/profil/spieler/182913,€40.00m,Juventus FC,ITA,"Apr 3, 1995 (28)",Saint-Maurice,France,"1,88 m",Central Midfield,France,37 / 3,left,28,,,
Nicolò Fagioli,/nicolo-fagioli/profil/spieler/432090,€35.00m,Juventus FC,ITA,"Feb 12, 2001 (22)",Piacenza,Italy,"1,78 m",Central Midfield,,Jan-00,right,22,,Italy,CAA Stellar
Weston McKennie,/weston-mckennie/profil/spieler/332697,€18.00m,Juventus FC,ITA,"Aug 28, 1998 (25)","Little Elm, Texas",United States,"1,85 m",Central Midfield,USA,45 / 11,right,25,,,
Paul Pogba,/paul-pogba/profil/spieler/122153,€15.00m,Juventus FC,ITA,"Mar 15, 1993 (30)",Lagny-sur-Marne,France,"1,91 m",Central Midfield,,91 / 11,na,30,France,,Rafaela Pimenta
Fabio Miretti,/fabio-miretti/profil/spieler/571607,€15.00m,Juventus FC,ITA,"Aug 3, 2003 (20)",Pinerolo,Italy,"1,80 m",Central Midfield,Italy U21,May-00,right,20,,,
Hans Nicolussi Caviglia,/hans-nicolussi-caviglia/profil/spieler/430280,€2.00m,Juventus FC,ITA,"Jun 18, 2000 (23)",Aosta,Italy,"1,84 m",Central Midfield,,Jan-00,right,23,Italy U21,,
Timothy Weah,/timothy-weah/profil/spieler/370846,€14.00m,Juventus FC,ITA,"Feb 22, 2000 (23)","New York City, New ...",United States,"1,83 m",Right Midfield,USA,32 / 5,right,23,,,
Filip Kostic,/filip-kostic/profil/spieler/161011,€22.00m,Juventus FC,ITA,"Nov 1, 1992 (30)",Kragujevac,Serbia,"1,84 m",Left Midfield,Serbia,56 / 3,left,30,,,
Federico Chiesa,/federico-chiesa/profil/spieler/341092,€40.00m,Juventus FC,ITA,"Oct 25, 1997 (25)",Genova,Italy,"1,75 m",Left Winger,Italy,42 / 5,right,25,,,
Samuel Iling Junior,/samuel-iling-junior/profil/spieler/581672,€9.00m,Juventus FC,ITA,"Oct 4, 2003 (19)",Islington,England,"1,82 m",Left Winger,England U21,0 / 0,left,19,,,
Dusan Vlahovic,/dusan-vlahovic/profil/spieler/357498,€70.00m,Juventus FC,ITA,"Jan 28, 2000 (23)",Belgrade,Serbia,"1,90 m",Centre-Forward,Serbia,23 / 13,left,23,,,
Moise Kean,/moise-kean/profil/spieler/364135,€18.00m,Juventus FC,ITA,"Feb 28, 2000 (23)",Vercelli,Italy,"1,83 m",Centre-Forward,,4-Dec,right,23,Italy,,
Arkadiusz Milik,/arkadiusz-milik/profil/spieler/191891,€8.00m,Juventus FC,ITA,"Feb 28, 1994 (29)",Tychy,Poland,"1,86 m",Centre-Forward,Poland,69 / 17,left,29,,,
Rui Patrício,/rui-patricio/profil/spieler/45026,€5.00m,AS Roma,ITA,"Feb 15, 1988 (35)",Leiria,Portugal,"1,90 m",Goalkeeper,Portugal,107 / 0,left,35,,,Gestifute
Mile Svilar,/mile-svilar/profil/spieler/338670,€1.50m,AS Roma,ITA,"Aug 27, 1999 (24)",Antwerpen,Serbia,"1,89 m",Goalkeeper,,Jan-00,right,24,Serbia,,Universal Twenty Two
Pietro Boer,/pietro-boer/profil/spieler/581604,€150k,AS Roma,ITA,"May 12, 2002 (21)",Mestre,Italy,"1,93 m",Goalkeeper,,,right,21,,,
Evan Ndicka,/evan-ndicka/profil/spieler/371149,€28.00m,AS Roma,ITA,"Aug 20, 1999 (24)",Paris,Cote d'Ivoire,"1,92 m",Centre-Back,Ivory Coast,0 / 0,left,24,,,
Gianluca Mancini,/gianluca-mancini/profil/spieler/256448,€18.00m,AS Roma,ITA,"Apr 17, 1996 (27)",Pontedera,Italy,"1,90 m",Centre-Back,Italy,Sep-00,right,27,,,
Diego Llorente,/diego-llorente/profil/spieler/246291,€12.00m,AS Roma,ITA,"Aug 16, 1993 (30)",Madrid,Spain,"1,86 m",Centre-Back,,Oct-00,right,30,,Spain,Gelu Rodríguez
Chris Smalling,/chris-smalling/profil/spieler/103427,€8.00m,AS Roma,ITA,"Nov 22, 1989 (33)",London,England,"1,94 m",Centre-Back,,31 / 1,right,33,England,,
Marash Kumbulla,/marash-kumbulla/profil/spieler/371371,€8.00m,AS Roma,ITA,"Feb 8, 2000 (23)",Peschiera del Garda,Albania,"1,91 m",Centre-Back,,18 / 0,right,23,,Albania,
Leonardo Spinazzola,/leonardo-spinazzola/profil/spieler/118689,€10.00m,AS Roma,ITA,"Mar 25, 1993 (30)",Foligno,Italy,"1,86 m",Left-Back,Italy,24 / 0,right,30,,,
Rasmus Kristensen,/rasmus-kristensen/profil/spieler/369684,€13.00m,AS Roma,ITA,"Jul 11, 1997 (26)",Brande,Denmark,"1,87 m",Right-Back,Denmark,14 / 0,right,26,,,
Zeki Celik,/zeki-celik/profil/spieler/251075,€10.00m,AS Roma,ITA,"Feb 17, 1997 (26)",Bursa,Turkey,"1,80 m",Right-Back,Turkey,39 / 2,right,26,,,F-F SPORT
Rick Karsdorp,/rick-karsdorp/profil/spieler/205006,€7.00m,AS Roma,ITA,"Feb 11, 1995 (28)",Schoonhoven,Netherlands,"1,84 m",Right-Back,,Mar-00,right,28,Netherlands,,H2 Agency
Bryan Cristante,/bryan-cristante/profil/spieler/199248,€20.00m,AS Roma,ITA,"Mar 3, 1995 (28)",San Vito al ...,Italy,"1,86 m",Defensive Midfield,Italy,33 / 2,right,28,,,
Leandro Paredes,/leandro-paredes/profil/spieler/166237,€12.00m,AS Roma,ITA,"Jun 29, 1994 (29)",San Justo,Argentina,"1,80 m",Defensive Midfield,Argentina,55 / 5,right,29,,,
Renato Sanches,/renato-sanches/profil/spieler/258027,€15.00m,AS Roma,ITA,"Aug 18, 1997 (26)",Lisboa,Portugal,"1,76 m",Central Midfield,,32 / 3,right,26,,Portugal,Gestifute
Houssem Aouar,/houssem-aouar/profil/spieler/395693,€13.00m,AS Roma,ITA,"Jun 30, 1998 (25)",Lyon,Algeria,"1,75 m",Central Midfield,Algeria,Feb-00,right,25,,,
Edoardo Bove,/edoardo-bove/profil/spieler/562049,€10.00m,AS Roma,ITA,"May 16, 2002 (21)",Roma,Italy,"1,81 m",Central Midfield,Italy U21,Aug-00,right,21,,,
Riccardo Pagano,/riccardo-pagano/profil/spieler/659415,€900k,AS Roma,ITA,"Nov 28, 2004 (18)",Tivoli,Italy,"1,75 m",Central Midfield,,Feb-00,right,18,,Italy U19,
Nicola Zalewski,/nicola-zalewski/profil/spieler/550108,€20.00m,AS Roma,ITA,"Jan 23, 2002 (21)",Tivoli,Poland,"1,75 m",Left Midfield,,Dec-00,na,21,,Poland,
Lorenzo Pellegrini,/lorenzo-pellegrini/profil/spieler/286297,€35.00m,AS Roma,ITA,"Jun 19, 1996 (27)",Roma,Italy,"1,86 m",Attacking Midfield,Italy,26 / 5,na,27,,,
Stephan El Shaarawy,/stephan-el-shaarawy/profil/spieler/94529,€5.00m,AS Roma,ITA,"Oct 27, 1992 (30)",Savona,Italy,"1,78 m",Left Winger,,29 / 6,right,30,Italy,,
Paulo Dybala,/paulo-dybala/profil/spieler/206050,€30.00m,AS Roma,ITA,"Nov 15, 1993 (29)",Laguna Larga,Argentina,"1,77 m",Second Striker,,38 / 3,left,29,,Argentina,
Tammy Abraham,/tammy-abraham/profil/spieler/331726,€40.00m,AS Roma,ITA,"Oct 2, 1997 (25)",London,England,"1,94 m",Centre-Forward,,3-Nov,right,25,,England,ROOF
Romelu Lukaku,/romelu-lukaku/profil/spieler/96341,€40.00m,AS Roma,ITA,"May 13, 1993 (30)",Antwerpen,Belgium,"1,91 m",Centre-Forward,Belgium,109 / 75,left,30,,,TEAM LUKAKU
Sardar Azmoun,/sardar-azmoun/profil/spieler/180337,€12.00m,AS Roma,ITA,"Jan 1, 1995 (28)","Gonbad-e Kavus, ...",Iran,"1,86 m",Centre-Forward,,71 / 45,na,28,,Iran,Epic Sports
Andrea Belotti,/andrea-belotti/profil/spieler/167727,€8.00m,AS Roma,ITA,"Dec 20, 1993 (29)",Calcinate,Italy,"1,81 m",Centre-Forward,,44 / 12,right,29,Italy,,
Marco Carnesecchi,/marco-carnesecchi/profil/spieler/459763,€13.00m,Atalanta BC,ITA,"Jul 1, 2000 (23)",Rimini,Italy,"1,91 m",Goalkeeper,,0 / 0,right,23,,Italy,
Juan Musso,/juan-musso/profil/spieler/242359,€8.00m,Atalanta BC,ITA,"May 6, 1994 (29)",San Nicolás,Argentina,"1,91 m",Goalkeeper,Argentina,Feb-00,right,29,,,
Francesco Rossi,/francesco-rossi/profil/spieler/126634,€100k,Atalanta BC,ITA,"Apr 27, 1991 (32)",Merate,Italy,"1,93 m",Goalkeeper,,0 / 0,right,32,Italy U21,,
Giorgio Scalvini,/giorgio-scalvini/profil/spieler/571604,€40.00m,Atalanta BC,ITA,"Dec 11, 2003 (19)",Chiari,Italy,"1,94 m",Centre-Back,Italy,Apr-00,right,19,,,
Berat Djimsiti,/berat-djimsiti/profil/spieler/165513,€10.00m,Atalanta BC,ITA,"Feb 19, 1993 (30)",Zürich,Albania,"1,90 m",Centre-Back,Albania,51 / 1,right,30,,,Soccer Mondial AG
Rafael Tolói,/rafael-toloi/profil/spieler/72441,€6.00m,Atalanta BC,ITA,"Oct 10, 1990 (32)",Glória D'Oeste,Italy,"1,85 m",Centre-Back,,14 / 0,right,32,,Italy,
José Luis Palomino,/jose-luis-palomino/profil/spieler/125020,€2.50m,Atalanta BC,ITA,"Jan 5, 1990 (33)",San Miguel de ...,Argentina,"1,88 m",Centre-Back,,0 / 0,left,33,Argentina,,
Giovanni Bonfanti,/giovanni-bonfanti/profil/spieler/663900,€100k,Atalanta BC,ITA,"Jan 17, 2003 (20)",Milano,Italy,"1,87 m",Centre-Back,,1-Mar,left,20,Italy U16,,SEG
Mitchel Bakker,/mitchel-bakker/profil/spieler/361065,€9.00m,Atalanta BC,ITA,"Jun 20, 2000 (23)",Purmerend,Netherlands,"1,85 m",Left-Back,,21 / 0,left,23,,Netherlands U21,Team Raiola
Sead Kolasinac,/sead-kolasinac/profil/spieler/94005,€8.00m,Atalanta BC,ITA,"Jun 20, 1993 (30)",Karlsruhe,Bosnia-Herzegovina,"1,83 m",Left-Back,Bosnia,54 / 0,left,30,,,Unique Sports Group
Matteo Ruggeri,/matteo-ruggeri/profil/spieler/616631,€4.00m,Atalanta BC,ITA,"Jul 11, 2002 (21)",San Giovanni Bianco,Italy,"1,87 m",Left-Back,Italy U21,Mar-00,left,21,,,
Davide Zappacosta,/davide-zappacosta/profil/spieler/173859,€7.00m,Atalanta BC,ITA,"Jun 11, 1992 (31)",Sora,Italy,"1,82 m",Right-Back,,13 / 0,right,31,Italy,,
Hans Hateboer,/hans-hateboer/profil/spieler/275303,€6.00m,Atalanta BC,ITA,"Jan 9, 1994 (29)",Beerta,Netherlands,"1,85 m",Right-Back,,13 / 0,right,29,Netherlands,,Key United
Emil Holm,/emil-holm/profil/spieler/496745,€5.00m,Atalanta BC,ITA,"May 13, 2000 (23)",Göteborg,Sweden,"1,91 m",Right-Back,Sweden,Mar-00,right,23,,,
Nadir Zortea,/nadir-zortea/profil/spieler/392966,€2.00m,Atalanta BC,ITA,"Jun 19, 1999 (24)",Feltre,Italy,"1,75 m",Right-Back,,0 / 0,right,24,Italy U20,,
Teun Koopmeiners,/teun-koopmeiners/profil/spieler/360518,€30.00m,Atalanta BC,ITA,"Feb 28, 1998 (25)",Castricum,Netherlands,"1,83 m",Defensive Midfield,Netherlands,16 / 1,left,25,,,
Marten de Roon,/marten-de-roon/profil/spieler/133179,€10.00m,Atalanta BC,ITA,"Mar 29, 1991 (32)",Zwijndrecht,Netherlands,"1,85 m",Defensive Midfield,Netherlands,38 / 1,right,32,,,SEG
Éderson,/ederson/profil/spieler/607854,€20.00m,Atalanta BC,ITA,"Jul 7, 1999 (24)",Campo Grande,Brazil,"1,83 m",Central Midfield,,Jan-00,right,24,Brazil U20,,
Michel Adopo,/michel-adopo/profil/spieler/564305,€500k,Atalanta BC,ITA,"Jul 19, 2000 (23)",Villeneuve-Saint-Geo...,France,"1,87 m",Central Midfield,,Feb-00,right,23,France U18,,
Charles De Ketelaere,/charles-de-ketelaere/profil/spieler/435772,€22.00m,Atalanta BC,ITA,"Mar 10, 2001 (22)",Brugge,Belgium,"1,92 m",Attacking Midfield,Belgium,1-Dec,left,22,,,
Mario Pasalic,/mario-pasalic/profil/spieler/205938,€20.00m,Atalanta BC,ITA,"Feb 9, 1995 (28)",Mainz,Croatia,"1,88 m",Attacking Midfield,Croatia,55 / 9,right,28,,,
Aleksey Miranchuk,/aleksey-miranchuk/profil/spieler/255450,€12.00m,Atalanta BC,ITA,"Oct 17, 1995 (27)","Slavyansk-na-Kubani,...",Russia,"1,82 m",Attacking Midfield,,41 / 6,left,27,Russia,,
Ademola Lookman,/ademola-lookman/profil/spieler/406040,€30.00m,Atalanta BC,ITA,"Oct 20, 1997 (25)",London,Nigeria,"1,74 m",Second Striker,Nigeria,1-Jul,right,25,,,ROOF
Gianluca Scamacca,/gianluca-scamacca/profil/spieler/315867,€22.00m,Atalanta BC,ITA,"Jan 1, 1999 (24)",Roma,Italy,"1,95 m",Centre-Forward,,Nov-00,right,24,,Italy,CAA Stellar
El Bilal Touré,/el-bilal-toure/profil/spieler/649016,€12.00m,Atalanta BC,ITA,"Oct 3, 2001 (21)",Adjamé,Mali,"1,85 m",Centre-Forward,,15 / 5,na,21,,Mali,
Luis Muriel,/luis-muriel/profil/spieler/119228,€5.00m,Atalanta BC,ITA,"Apr 16, 1991 (32)",Santo Tomás,Colombia,"1,79 m",Centre-Forward,,45 / 8,right,32,Colombia,,
Ivan Provedel,/ivan-provedel/profil/spieler/197929,€12.00m,SS Lazio,ITA,"Mar 17, 1994 (29)",Pordenone,Italy,"1,94 m",Goalkeeper,Italy,0 / 0,right,29,,,
Luigi Sepe,/luigi-sepe/profil/spieler/99254,€1.00m,SS Lazio,ITA,"May 8, 1991 (32)",Torre del Greco,Italy,"1,85 m",Goalkeeper,,Apr-00,left,32,Italy U19,,
Christos Mandas,/christos-mandas/profil/spieler/481675,€1.00m,SS Lazio,ITA,"Sep 17, 2001 (21)",Piräus,Greece,"1,89 m",Goalkeeper,,Feb-00,right,21,Greece U21,,
Nicolò Casale,/nicolo-casale/profil/spieler/389837,€22.00m,SS Lazio,ITA,"Feb 14, 1998 (25)",Negrar,Italy,"1,91 m",Centre-Back,Italy,0 / 0,right,25,,,
Alessio Romagnoli,/alessio-romagnoli/profil/spieler/197747,€18.00m,SS Lazio,ITA,"Jan 12, 1995 (28)",Anzio,Italy,"1,85 m",Centre-Back,Italy,13 / 2,left,28,,,Team Raiola
Patric,/patric/profil/spieler/126729,€5.00m,SS Lazio,ITA,"Apr 17, 1993 (30)",Mula,Spain,"1,84 m",Centre-Back,,,right,30,,,Team Raiola
Mario Gila,/mario-gila/profil/spieler/618341,€3.00m,SS Lazio,ITA,"Aug 29, 2000 (23)",Barcelona,Spain,"1,85 m",Centre-Back,,Sep-00,right,23,,Spain U21,
Adam Marusic,/adam-marusic/profil/spieler/239802,€8.00m,SS Lazio,ITA,"Oct 17, 1992 (30)",Belgrade,Montenegro,"1,85 m",Left-Back,Montenegro,54 / 3,right,30,,,
Luca Pellegrini,/luca-pellegrini/profil/spieler/346567,€7.00m,SS Lazio,ITA,"Mar 7, 1999 (24)",Roma,Italy,"1,78 m",Left-Back,,Jan-00,left,24,Italy,,Team Raiola
Dimitrije Kamenovic,/dimitrije-kamenovic/profil/spieler/465565,€700k,SS Lazio,ITA,"Jul 16, 2000 (23)",Pirot,Serbia,"1,88 m",Left-Back,,Dec-00,left,23,Serbia U21,,
Manuel Lazzari,/manuel-lazzari/profil/spieler/331401,€7.50m,SS Lazio,ITA,"Nov 29, 1993 (29)",Valdagno,Italy,"1,74 m",Right-Back,,Mar-00,right,29,Italy,,
Elseid Hysaj,/elseid-hysaj/profil/spieler/200056,€5.00m,SS Lazio,ITA,"Feb 2, 1994 (29)",Shkodër,Albania,"1,82 m",Right-Back,Albania,78 / 2,right,29,,,
Nicolò Rovella,/nicolo-rovella/profil/spieler/525704,€18.00m,SS Lazio,ITA,"Dec 4, 2001 (21)",Segrate,Italy,"1,79 m",Defensive Midfield,,21 / 3,right,21,,Italy U21,
Danilo Cataldi,/danilo-cataldi/profil/spieler/199733,€10.00m,SS Lazio,ITA,"Aug 6, 1994 (29)",Roma,Italy,"1,80 m",Defensive Midfield,,0 / 0,right,29,Italy,,
Mattéo Guendouzi,/matteo-guendouzi/profil/spieler/465830,€25.00m,SS Lazio,ITA,"Apr 14, 1999 (24)",Poissy,France,"1,85 m",Central Midfield,,1-Jul,right,24,,France,
Luis Alberto,/luis-alberto/profil/spieler/128220,€18.00m,SS Lazio,ITA,"Sep 28, 1992 (30)",San José del Valle,Spain,"1,83 m",Central Midfield,,Jan-00,right,30,Spain,,
Toma Basic,/toma-basic/profil/spieler/334835,€6.00m,SS Lazio,ITA,"Nov 25, 1996 (26)",Zagreb,Croatia,"1,90 m",Central Midfield,,Feb-00,left,26,Croatia,,
Matías Vecino,/matias-vecino/profil/spieler/143812,€4.50m,SS Lazio,ITA,"Aug 24, 1991 (32)",San Jacinto,Uruguay,"1,87 m",Central Midfield,,67 / 5,right,32,,Uruguay,
Daichi Kamada,/daichi-kamada/profil/spieler/356141,€27.00m,SS Lazio,ITA,"Aug 5, 1996 (27)","Iyo, Ehime",Japan,"1,84 m",Attacking Midfield,Japan,30 / 6,right,27,,,
André Anderson,/andre-anderson/profil/spieler/601577,€1.00m,SS Lazio,ITA,"Sep 23, 1999 (23)",Maracai,Italy,"1,80 m",Attacking Midfield,,1-May,right,23,Italy U20,,
Mattia Zaccagni,/mattia-zaccagni/profil/spieler/283735,€30.00m,SS Lazio,ITA,"Jun 16, 1995 (28)",Cesena,Italy,"1,77 m",Left Winger,Italy,Jan-00,right,28,,,
Diego González,/diego-gonzalez/profil/spieler/873981,€750k,SS Lazio,ITA,"Jan 7, 2003 (20)",Alto Paraná,Paraguay,"1,77 m",Left Winger,Paraguay U20,0 / 0,left,20,,,
Felipe Anderson,/felipe-anderson/profil/spieler/159372,€15.00m,SS Lazio,ITA,"Apr 15, 1993 (30)",Brasília,Brazil,"1,75 m",Right Winger,,Feb-00,right,30,Brazil,,
Gustav Isaksen,/gustav-isaksen/profil/spieler/462823,€7.50m,SS Lazio,ITA,"Apr 19, 2001 (22)",Hjerk,Denmark,"1,81 m",Right Winger,,19 / 7,na,22,,Denmark U21,
Pedro,/pedro/profil/spieler/65278,€1.50m,SS Lazio,ITA,"Jul 28, 1987 (36)",Santa Cruz de ...,Spain,"1,67 m",Right Winger,,65 / 17,na,36,Spain,,
Cristiano Lombardi,/cristiano-lombardi/profil/spieler/240349,€125k,SS Lazio,ITA,"Aug 19, 1995 (28)",Viterbo,Italy,"1,80 m",Right Winger,,Feb-00,right,28,Italy U19,,
Ciro Immobile,/ciro-immobile/profil/spieler/105521,€15.00m,SS Lazio,ITA,"Feb 20, 1990 (33)",Torre Annunziata,Italy,"1,85 m",Centre-Forward,Italy,56 / 16,right,33,,,
Taty Castellanos,/taty-castellanos/profil/spieler/522784,€15.00m,SS Lazio,ITA,"Oct 3, 1998 (24)",Mendoza,Argentina,"1,78 m",Centre-Forward,,Jun-00,right,24,Argentina U23,,
Oliver Christensen,/oliver-christensen/profil/spieler/471936,€4.00m,ACF Fiorentina,ITA,"Mar 22, 1999 (24)",Kerteminde,Denmark,"1,90 m",Goalkeeper,,Jan-00,right,24,,Denmark,
Pietro Terracciano,/pietro-terracciano/profil/spieler/96254,€2.00m,ACF Fiorentina,ITA,"Mar 8, 1990 (33)",San Felice a ...,Italy,"1,93 m",Goalkeeper,,,right,33,,,
Nikola Milenkovic,/nikola-milenkovic/profil/spieler/413507,€18.00m,ACF Fiorentina,ITA,"Oct 12, 1997 (25)",Belgrade,Serbia,"1,95 m",Centre-Back,Serbia,46 / 3,right,25,,,
Yerry Mina,/yerry-mina/profil/spieler/289446,€10.00m,ACF Fiorentina,ITA,"Sep 23, 1994 (28)",Guachené,Colombia,"1,95 m",Centre-Back,Colombia,41 / 7,right,28,,,
Lucas Martínez Quarta,/lucas-martinez-quarta/profil/spieler/373373,€10.00m,ACF Fiorentina,ITA,"May 10, 1996 (27)",Mar del Plata,Argentina,"1,83 m",Centre-Back,,Nov-00,right,27,Argentina,,Universal Twenty Two
Luca Ranieri,/luca-ranieri/profil/spieler/346561,€2.50m,ACF Fiorentina,ITA,"Apr 23, 1999 (24)",La Spezia,Italy,"1,87 m",Centre-Back,,Aug-00,left,24,Italy U21,,
Christian Dalle Mura,/christian-dalle-mura/profil/spieler/487829,€1.00m,ACF Fiorentina,ITA,"Feb 2, 2002 (21)",Pietrasanta,Italy,"1,85 m",Centre-Back,,0 / 0,left,21,,Italy U21,
Fabiano Parisi,/fabiano-parisi/profil/spieler/547985,€10.00m,ACF Fiorentina,ITA,"Nov 9, 2000 (22)",Solofra,Italy,"1,78 m",Left-Back,,0 / 0,left,22,,Italy,
