name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,current_international,caps/goals,foot,age,former_international,national_player,agent
Gaetano Oristanio,/gaetano-oristanio/profil/spieler/613393,€1.00m,Cagliari Calcio,ITA,"Sep 28, 2002 (20)",Vallo della Lucania,Italy,"1,74 m",Attacking Midfield,Italy U21,Mar-00,left,20,,,
Marco Mancosu,/marco-mancosu/profil/spieler/51736,€900k,Cagliari Calcio,ITA,"Aug 22, 1988 (35)",Cagliari,Italy,"1,80 m",Attacking Midfield,,Jan-00,right,35,Italy U21,,
Jacopo Desogus,/jacopo-desogus/profil/spieler/610878,€400k,Cagliari Calcio,ITA,"Oct 1, 2002 (20)",Cagliari,Italy,"1,74 m",Left Winger,,Jan-00,right,20,Italy U20,,
Andrea Petagna,/andrea-petagna/profil/spieler/199258,€10.00m,Cagliari Calcio,ITA,"Jun 30, 1995 (28)",Trieste,Italy,"1,90 m",Centre-Forward,,Jan-00,left,28,Italy,,
Eldor Shomurodov,/eldor-shomurodov/profil/spieler/358166,€6.00m,Cagliari Calcio,ITA,"Jun 29, 1995 (28)","Jarkurgan, ...",Uzbekistan,"1,90 m",Centre-Forward,Uzbekistan,66 / 37,right,28,,,
Gianluca Lapadula,/gianluca-lapadula/profil/spieler/130394,€2.70m,Cagliari Calcio,ITA,"Feb 7, 1990 (33)",Torino,Peru,"1,78 m",Centre-Forward,,27 / 9,left,33,,Peru,
Zito Luvumbo,/zito-luvumbo/profil/spieler/666547,€2.00m,Cagliari Calcio,ITA,"Mar 9, 2002 (21)",Luanda,Angola,"1,71 m",Centre-Forward,Angola,Aug-00,left,21,,,
Leonardo Pavoletti,/leonardo-pavoletti/profil/spieler/64793,€1.00m,Cagliari Calcio,ITA,"Nov 26, 1988 (34)",Livorno,Italy,"1,88 m",Centre-Forward,,1-Jan,right,34,Italy,,
Stefano Turati,/stefano-turati/profil/spieler/543666,€4.50m,Frosinone Calcio,ITA,"Sep 5, 2001 (22)",Milano,Italy,"1,88 m",Goalkeeper,,Apr-00,right,22,,Italy U21,
Michele Cerofolini,/michele-cerofolini/profil/spieler/370701,€500k,Frosinone Calcio,ITA,"Jan 4, 1999 (24)",Arezzo,Italy,"1,88 m",Goalkeeper,,Feb-00,right,24,Italy U21,,
Pierluigi Frattali,/pierluigi-frattali/profil/spieler/43217,€150k,Frosinone Calcio,ITA,"Dec 1, 1985 (37)",Roma,Italy,"1,85 m",Goalkeeper,,,right,37,,,
Caleb Okoli,/caleb-okoli/profil/spieler/461833,€10.00m,Frosinone Calcio,ITA,"Jul 13, 2001 (22)",Vicenza,Italy,"1,91 m",Centre-Back,,14 / 1,right,22,,Italy U21,
Simone Romagnoli,/simone-romagnoli/profil/spieler/88706,€750k,Frosinone Calcio,ITA,"Feb 9, 1990 (33)",Cremona,Italy,"1,93 m",Centre-Back,,Jun-00,right,33,Italy U21,,
Ilario Monterisi,/ilario-monterisi/profil/spieler/550116,€300k,Frosinone Calcio,ITA,"Dec 19, 2001 (21)",Trani,Italy,"1,90 m",Centre-Back,,,right,21,,,
Sergio Kalaj,/sergio-kalaj/profil/spieler/457237,€200k,Frosinone Calcio,ITA,"Jan 28, 2000 (23)",Marino,Albania,"1,93 m",Centre-Back,,Jul-00,right,23,Albania U21,,
Matjaz Kamensek-Pahic,/matjaz-kamensek-pahic/profil/spieler/722377,€100k,Frosinone Calcio,ITA,"Jul 4, 2004 (19)",Maribor,Slovenia,"1,89 m",Centre-Back,,Jul-00,right,19,,Slovenia U19,
Daniel Macej,/daniel-macej/profil/spieler/671543,€25k,Frosinone Calcio,ITA,"Apr 29, 2004 (19)",,Czech Republic,,Centre-Back,,Mar-00,,19,Czechia U15,,
Riccardo Marchizza,/riccardo-marchizza/profil/spieler/297645,€1.00m,Frosinone Calcio,ITA,"Mar 26, 1998 (25)",Roma,Italy,"1,86 m",Left-Back,,1-Sep,left,25,Italy U21,,
Pol Lirola,/pol-lirola/profil/spieler/298975,€2.00m,Frosinone Calcio,ITA,"Aug 13, 1997 (26)",Mollet del Vallès,Spain,"1,83 m",Right-Back,,Feb-00,right,26,Spain U21,,Universal Twenty Two
Anthony Oyono,/anthony-oyono/profil/spieler/804812,€400k,Frosinone Calcio,ITA,"Apr 12, 2001 (22)",Lille,Gabon,"1,84 m",Right-Back,Gabon,Dec-00,right,22,,,
Luca Mazzitelli,/luca-mazzitelli/profil/spieler/226025,€3.00m,Frosinone Calcio,ITA,"Nov 15, 1995 (27)",Roma,Italy,"1,84 m",Defensive Midfield,,Jul-00,right,27,Italy U21,,GG11
